a_ae 20 8 141 1
a_ae 17 25 143 1
Z[\Wkbj 20 -9 1 -9
Z[\Wkbj 9 -8 5 -9
Z[\Wkbj 15 -8 21 -7
Zi\ 5 212 1839 121
